PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bayang,832.85,517.51,-,-,-,-,-,-,-,8.9743,6.0043,2.9606
Bayawan,613.39,381.14,14.9751,16.807,13.2076,11.1111,10.5351,9.8872,8.0708,10.0742,8.8827,8.6775
Baybay,600.52,373.15,15.5238,8.879,14.2927,11.9402,11.1461,9.5819,10.2979,8.1292,7.7513,9.0125
Bayog,779.16,484.15,-,13.0806,6.5299,5.851,0,10.458,10.7311,9.1704,7.9347,9.375
Bayombong,213.61,132.73,18.0312,16.265,10.6521,10.1908,0,11.0963,11.0418,7.5413,7.5622,10.3001
Bayugan,834.06,518.26,13.2288,15.3051,9.9394,8.9444,9.1961,7.2013,9.4522,7.8645,8.7446,8.5088
Belison,429.79,267.06,-,7.1053,2.7339,4.6711,0,10.5982,10.6465,9.8394,7.2178,8.8252
Benito Soliven,287.26,178.49,-,-,-,5.515,0,11.3212,10.8926,9.9861,8.0649,7.9234
Besao,279.72,173.81,-,-,8.7484,8.8888,0,10.5903,10.3008,9.3064,10.0332,8.9704
Bien Unido,617.09,383.44,-,9.4073,7.4614,7.9674,0,11.2866,9.106,9.7302,8.7302,8.2878
Bilar,641.64,398.7,-,8.0052,11.9979,7.5714,0,11.1288,8.9482,9.1559,8.9334,4.7051
Biliran,513.55,319.11,-,-,-,7.5999,0,7.7215,8.3901,8.3929,6.235,7.1504
Binalbagan,529.03,328.73,13.7694,6.5742,9.7908,6.7013,0,10.2959,10.1942,8.9203,7.7805,8.0103
Binalonan,168,104.39,17.0246,15.566,13.0942,9.5608,0,9.6313,10.3854,9.2031,7.9092,9.4508
Binan,29.55,18.36,9.6725,15.198,9.3278,12.634,13.6357,13.4722,13.2057,11.8966,10.5691,10.5862
Binangonan,26.69,16.58,13.4939,13.6931,13.6442,13.4367,0,13.6519,13.2929,10.6494,8.1493,9.973
Bindoy,584.81,363.39,-,4.4693,5.3059,7.7196,0,10.3351,9.9644,8.8261,6.2043,8.3866
Bingawan,410.57,255.12,-,6.4067,10.624,5.8972,0,10.8495,10.5529,10.7392,8.2801,8.3307
Binidayan,830.98,516.35,-,-,-,-,-,-,-,6.5538,4.2343,6.1516
Binmaley,177.72,110.43,-,13.7322,8.6435,7.8588,0,8.9471,9.8246,10.0306,8.1231,9.3278
Binuangan,753.74,468.35,-,10.6834,7.7302,6.9934,0,9.7093,10.4983,8.8921,5.8845,6.0198
Biri,421.68,262.02,-,-,-,3.1655,0,5.6699,5.2637,8.391,7.6725,5.581
Bislig,921.7,572.72,17.6035,17.8179,13.6938,10.2025,10.7654,9.6244,9.0192,7.4447,8.0577,7.8784
Boac,156.31,97.13,15.9466,15.8715,11.7724,10.6798,0,9.3946,10.3698,9.0474,7.722,9.5159
Bobon,450.34,279.83,-,-,6.3387,3.4297,0,8.1274,7.5125,3.9571,6.7944,4.3428
Bocaue,24.6,15.29,9.5319,14.0642,8.8624,5.9444,0,10.9853,11.6512,10.0757,7.8541,8.4841
Bogo,512.22,318.28,18.0909,19.2679,10.4415,12.316,12.2123,10.1615,9.7538,9.444,9.6481,9.4462
Bokod,303,188,-,7.8116,10.8471,10.9314,0,11.5397,10.0955,9.5755,8.3781,7.5443
Bolinao,231.86,144.07,10.6036,10.4712,5.6327,8.9437,0,7.2391,7.942,7.6102,6.0571,6.1785
Boliney,311.31,193.44,-,-,-,2.2812,0,3.1484,4.7946,4.2851,4.1771,6.128
Boljoon,614.43,381.79,-,9.3297,10.1064,10.0326,0,11.1634,9.6466,9.33,1.6894,4.7337
Bombon,260.36,161.78,-,-,6.1833,7.6442,0,9.5638,9.0688,1.52,4.5899,5.1397
Bongabon,118.05,73.35,-,-,1.686,10.6814,0,10.6055,10.4454,9.4989,8.0945,9.3635
Bongabong,210.37,130.72,15.3469,15.1508,8.7119,8.0346,0,10.1442,9.0642,9.142,8.3263,9.4736
Bongao,1055.67,655.97,-,-,-,-,-,-,-,6.3608,6.703,7.3149
Bonifacio,782.84,486.44,-,10.2027,7.3537,8.9495,0,10.5964,9.9974,8.2387,7.3089,7.1136
Bontoc (MP),392,244,16.7762,15.0161,13.7739,11.9756,0,9.9803,9.3434,8.8287,7.9725,10.3639
Bontoc (SL),640.82,398.19,-,-,9.4629,8.1944,0,7.6555,10.2444,7.0807,8.3784,7.8603
Borbon,527.51,327.78,-,8.0598,6.9419,5.1423,0,11.4321,6.9375,5.2049,4.0129,6.1193
Borongan,582.93,362.22,13.2573,8.2168,10.7793,11.5913,10.3259,8.5768,8.4526,8.683,9.0482,8.7617
Boston,952.06,591.58,-,5.7856,7.7048,10.1347,0,9.5474,8.553,8.111,7.0278,7.9395
Botolan,123.57,76.79,-,15.9116,2.1874,5.9772,0,10.1429,10.3057,9.0988,7.325,9.4901
Braulio E. Dujali,943.31,586.15,-,7.9161,9.1624,12.7992,0,10.8084,11.4844,9.8656,8.9958,7.9086
Buadiposo-Buntong,822.66,511.18,-,-,-,-,-,-,-,8.1263,6.9229,7.1418
Bubong,820.5,509.83,-,-,-,-,-,-,-,8.284,7.656,4.7612
Bucay,329.99,205.05,-,13.5636,9.2433,10.4378,0,8.6326,10.7893,10.0655,7.2012,8.6812
Bucloc,318.18,197.71,-,-,-,4.0558,0,3.4993,3.8119,8.1023,7.0907,5.2927
Buenavista (AN),789.96,490.86,16.5311,17.4106,12.1982,10.9161,0,10.4094,10.4892,7.3342,5.5305,7.8922
Buenavista (BL),607.1,377.23,-,8.8894,8.103,9.0605,0,12.1066,10.2718,9.9798,8.7154,7.2729
Buenavista (GS),473.22,294.05,10.0581,13.0236,9.3675,9.8552,0,9.528,10.4652,8.9771,6.6194,9.2252
