PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bayang,832.85,517.51,-,-,-,-,-,-,-,13.3159,11.8752,5.115
Bayawan,613.39,381.14,-,-,-,18.8402,16.3614,17.0217,17.0466,13.586,10.1946,11.2288
Baybay,600.52,373.15,-,-,-,13.6295,16.656,16.6179,17.0748,13.4985,11.5052,10.9883
Bayog,779.16,484.15,-,-,-,16.1203,0,17.6162,17.7481,12.3733,10.5561,11.0819
Bayombong,213.61,132.73,-,-,-,16.5969,0,16.9127,17.1263,13.5014,11.4279,11.5283
Bayugan,834.06,518.26,-,-,-,15.7831,16.6841,17.1201,17.2251,12.1162,10.1521,11.3668
Belison,429.79,267.06,-,-,-,10.168,0,16.8634,16.6156,12.1373,10.9342,11.1278
Benito Soliven,287.26,178.49,-,-,-,9.8052,0,16.9955,16.9145,13.3637,11.3205,11.3059
Besao,279.72,173.81,-,-,-,12.9461,0,13.3568,16.4807,12.3455,11.6417,11.3304
Bien Unido,617.09,383.44,-,-,-,15.4805,0,16.4602,15.9224,13.5503,10.6452,10.8928
Bilar,641.64,398.7,-,-,-,15.7288,0,16.1922,16.6758,10.7877,11.3702,10.4203
Biliran,513.55,319.11,-,-,-,15.4437,0,13.5931,16.5473,12.7675,10.9438,10.3398
Binalbagan,529.03,328.73,-,-,-,15.3262,0,15.6429,15.8643,11.3935,12.7939,11.233
Binalonan,168,104.39,-,-,-,13.0777,0,16.2872,16.7296,12.9231,10.8392,11.4134
Binan,29.55,18.36,-,-,-,16.9816,17.4264,17.9282,18.3763,14.3235,11.8633,11.7705
Binangonan,26.69,16.58,-,-,-,16.3942,0,19.3259,19.1914,15.4071,12.7595,12.7643
Bindoy,584.81,363.39,-,-,-,0,0,15.8185,13.602,12.1824,11.356,11.3424
Bingawan,410.57,255.12,-,-,-,13.7605,0,16.8015,16.852,13.7091,11.45,11.2548
Binidayan,830.98,516.35,-,-,-,-,-,-,-,9.2592,8.894,11.4364
Binmaley,177.72,110.43,-,-,-,9.3198,0,16.6513,16.959,13.5078,11.6005,11.4178
Binuangan,753.74,468.35,-,-,-,14.3733,0,16.4103,17.0715,13.738,11.6924,9.4642
Biri,421.68,262.02,-,-,-,7.7809,0,3.1885,3.2461,12.3144,9.9485,10.9353
Bislig,921.7,572.72,-,-,-,16.3415,17.1259,15.7357,17.0174,13.4772,11.3377,11.3597
Boac,156.31,97.13,-,-,-,15.5815,0,16.8566,17.1015,13.3392,11.3467,11.2846
Bobon,450.34,279.83,-,-,-,14.0837,0,15.5038,14.9362,7.8902,7.8918,8.926
Bocaue,24.6,15.29,-,-,-,12.7409,0,12.8773,16.5382,13.3497,11.3969,11.62
Bogo,512.22,318.28,-,-,-,16.0825,16.3992,16.2532,16.6127,12.4994,11.4426,11.4025
Bokod,303,188,-,-,-,10.0619,0,15.3192,16.4347,12.9215,10.9705,10.8239
Bolinao,231.86,144.07,-,-,-,10.9652,0,16.2614,17.029,13.7066,11.7852,11.7819
Boliney,311.31,193.44,-,-,-,7.6567,0,11.5773,12.7339,10.5398,8.0126,7.4785
Boljoon,614.43,381.79,-,-,-,15.6901,0,16.7671,15.2536,12.346,8.9133,9.9226
Bombon,260.36,161.78,-,-,-,15.3748,0,14.9345,12.8469,0,10.9978,10.9077
Bongabon,118.05,73.35,-,-,-,15.5878,0,15.9313,16.3502,12.8684,11.4964,11.3682
Bongabong,210.37,130.72,-,-,-,15.4988,0,15.4495,17.1055,12.8372,11.0598,10.89
Bongao,1055.67,655.97,-,-,-,-,-,-,-,11.2398,8.3901,9.3652
